THE INDEX / ACCESSIBILITY CONFORMANCE

AXE-CORE 4.13.0
RULESET  wcag2a, wcag2aa, wcag21a, wcag21aa (WCAG 2.0 and 2.1, levels A and AA)
SWEPT 2026-09-05T07:30:03Z

Every route the build emits is loaded in headless Chromium in both
themes at 375 and 1280 CSS pixels wide, and audited with axe-core.
One violation fails the build. This file is written by that check,
test/gates/a11y.mjs, and is not editable by hand.

ROUTES 96   THEMES 2   VIEWPORTS 2   CHECKS 384

ROUTE                     THEME  VIEWPORT   VIOLATIONS
/role/listen-labs-foundin dark   1280x800   0
/role/mercury-senior-desi dark   1280x800   0
/role/mercury-senior-desi dark   1280x800   0
/role/mercury-senior-fron dark   1280x800   0
/role/mercury-senior-prod dark   1280x800   0
/role/mercury-senior-prod dark   1280x800   0
/role/mercury-senior-prod dark   1280x800   0
/role/mercury-staff-brand dark   1280x800   0
/role/mercury-staff-visua dark   1280x800   0
/role/notion-brand-design dark   1280x800   0
/role/notion-product-desi dark   1280x800   0
/role/openai-actuator-des dark   1280x800   0
/role/openai-actuator-ele dark   1280x800   0
/role/openai-actuator-gea dark   1280x800   0
/role/openai-data-center- dark   1280x800   0
/role/openai-hardware-sof dark   1280x800   0
/role/openai-product-desi dark   1280x800   0
/role/openai-product-desi dark   1280x800   0
/role/openai-product-desi dark   1280x800   0
/role/openai-product-desi dark   1280x800   0
/role/openai-product-desi dark   1280x800   0
/role/openai-product-desi dark   1280x800   0
/role/openai-product-desi dark   1280x800   0
/role/openai-senior-rtl-d dark   1280x800   0
/role/outset-product-desi dark   1280x800   0
/role/perplexity-brand-de dark   1280x800   0
/role/perplexity-design-e dark   1280x800   0
/role/perplexity-design-s dark   1280x800   0
/role/perplexity-lead-pro dark   1280x800   0
/role/perplexity-lead-pro dark   1280x800   0
/role/ramp-associate-crea dark   1280x800   0
/role/ramp-design-enginee dark   1280x800   0
/role/ramp-director-produ dark   1280x800   0
/role/ramp-product-design dark   1280x800   0
/role/ramp-senior-brand-d dark   1280x800   0
/role/replit-brand-design dark   1280x800   0
/role/replit-design-engin dark   1280x800   0
/role/replit-director-of- dark   1280x800   0
/role/replit-engineering- dark   1280x800   0
/role/sierra-product-desi dark   1280x800   0
/role/vercel-product-desi dark   1280x800   0
/role/vercel-senior-brand dark   1280x800   0
/role/vercel-senior-produ dark   1280x800   0
/role/webflow-staff-brand dark   1280x800   0
/terms                    dark   1280x800   0
----------------------------------------------------------
TOTAL VIOLATIONS 0

RESULT PASS. Zero violations across every route, theme and width above.
